subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
8	 140	 8	 1	 1	 0	 16	 1	 2	 1	 0	 3821.61	 
8	 141	 2	 1	 0	 0	 5	 0	 0	 2	 1	 1341.03	 
8	 142	 7	 0	 1	 0	 10	 1	 1	 1	 1	 1595.69	 
8	 143	 12	 1	 1	 2	 10	 1	 1	 1	 1	 2839.50	 
8	 144	 8	 1	 1	 0	 10	 1	 1	 1	 1	 1272.45	 
8	 145	 12	 1	 1	 2	 15	 0	 2	 1	 0	 1867.86	 
8	 146	 17	 0	 2	 2	 10	 1	 1	 1	 0	 1736.24	 
8	 147	 12	 1	 1	 2	 12	 1	 1	 2	 1	 1289.04	 
8	 148	 9	 0	 1	 1	 8	 1	 1	 0	 1	 2085.33	 
8	 149	 4	 1	 0	 1	 15	 0	 2	 1	 0	 998.87	 
8	 150	 6	 1	 0	 2	 3	 0	 0	 1	 1	 1056.92	 
8	 151	 13	 0	 2	 0	 18	 1	 2	 2	 1	 462.39	 
8	 152	 9	 0	 1	 1	 15	 0	 2	 1	 0	 1526.46	 
8	 153	 7	 0	 1	 0	 15	 0	 2	 1	 0	 1395.39	 
8	 154	 11	 0	 1	 2	 11	 0	 1	 2	 1	 1933.55	 
8	 155	 14	 1	 2	 0	 4	 1	 0	 1	 0	 1941.17	 
8	 156	 14	 1	 2	 0	 18	 1	 2	 2	 1	 1329.89	 
8	 157	 3	 0	 0	 1	 2	 1	 0	 0	 1	 1199.12	 
8	 158	 7	 0	 1	 0	 16	 1	 2	 1	 0	 1540.80	 
8	 159	 9	 0	 1	 1	 13	 0	 2	 0	 1	 865.20	 
8	 160	 11	 0	 1	 2	 16	 1	 2	 1	 0	 1930.32	 
8	 161	 12	 1	 1	 2	 16	 1	 2	 1	 0	 1072.91	 
8	 162	 16	 1	 2	 1	 12	 1	 1	 2	 0	 1206.21	 
8	 163	 18	 1	 2	 2	 11	 0	 1	 2	 0	 3636.64	 
8	 164	 3	 0	 0	 1	 12	 1	 1	 2	 0	 1132.47	 
8	 165	 7	 0	 1	 0	 6	 1	 0	 2	 0	 3108.54	 
8	 166	 12	 1	 1	 2	 1	 0	 0	 0	 0	 2689.14	 
8	 167	 2	 1	 0	 0	 4	 1	 0	 1	 1	 997.56	 
8	 168	 17	 0	 2	 2	 12	 1	 1	 2	 0	 1462.09	 
8	 169	 6	 1	 0	 2	 16	 1	 2	 1	 0	 870.99	 
8	 170	 13	 0	 2	 0	 6	 1	 0	 2	 0	 1268.52	 
8	 171	 2	 1	 0	 0	 17	 0	 2	 2	 0	 1800.12	 
8	 172	 10	 1	 1	 1	 17	 0	 2	 2	 0	 2275.97	 
8	 173	 15	 0	 2	 1	 4	 1	 0	 1	 0	 1460.98	 
8	 174	 13	 0	 2	 0	 3	 0	 0	 1	 0	 1466.94	 
8	 175	 10	 1	 1	 1	 5	 0	 0	 2	 0	 4143.53	 
